,Time,Tibialis antelior,Gastrocnemius medialis
686,2.584,0.048,0.016
687,2.585,0.04,0.004
688,2.586,0.045,0.008
689,2.587,0.049,0.007
690,2.588,0.048,0.007
691,2.589,0.035,0.007
692,2.59,0.02,0.006
693,2.591,0.008,0.007
694,2.592,-0.011,0.007
695,2.593,-0.032,0.003
696,2.594,-0.036,-0.003
697,2.595,-0.035,0.001
698,2.596,-0.06,-0.001
699,2.597,-0.047,-0.003
700,2.598,-0.087,-0.038
701,2.599,-0.129,-0.062
702,2.6,-0.038,-0.02
703,2.601,0.059,0.02
704,2.602,0.068,0.021
705,2.603,0.048,0.014
706,2.604,0.044,0.018
707,2.605,-0.023,0.009
708,2.606,-0.024,0.014
709,2.607,-0.005,0.011
710,2.608,-0.017,0.009
711,2.609,-0.027,0.008
712,2.61,0.019,0.006
713,2.611,0.074,0.005
714,2.612,0.123,0.001
715,2.613,0.16,-0.002
716,2.614,0.135,-0.007
717,2.615,0.109,-0.003
718,2.616,0.079,-0.004
719,2.617,0.064,-0.007
720,2.618,-0.053,-0.041
721,2.619,-0.183,-0.063
722,2.62,-0.134,-0.019
723,2.621,-0.041,0.024
724,2.622,-0.06,0.024
725,2.623,-0.102,0.018
726,2.624,-0.038,0.02
727,2.625,0.092,0.008
728,2.626,0.106,0.009
729,2.627,0.076,0.007
730,2.628,0.031,0.009
731,2.629,-0.041,0.006
732,2.63,-0.034,0.004
733,2.631,-0.045,0.005
734,2.632,-0.02,0.001
735,2.633,0.004,-0.001
736,2.634,0.01,-0.006
737,2.635,0.019,-0.001
738,2.636,-0.005,-0.003
739,2.637,-0.033,-0.01
740,2.638,-0.081,-0.044
741,2.639,-0.121,-0.068
742,2.64,-0.028,-0.023
743,2.641,0.05,0.017
744,2.642,0.055,0.015
745,2.643,0.041,0.01
746,2.644,0.009,0.014
747,2.645,-0.085,0.006
748,2.646,-0.091,0.011
749,2.647,-0.059,0.008
750,2.648,0.046,0.013
751,2.649,0.194,0.011
752,2.65,0.117,0.007
753,2.651,0.072,0.009
754,2.652,0.063,0.006
755,2.653,0.039,0.0
756,2.654,0.039,-0.002
757,2.655,-0.003,0.001
758,2.656,-0.019,-0.003
759,2.657,-0.027,-0.007
760,2.658,-0.067,-0.041
